oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
03/01/2020;C;XP;FII;RBRR11;7;112,64;788,48;0,24;0;BRL
03/01/2020;C;XP;FII;MALL11;3;128,5;385,5;0,12;0;BRL
03/01/2020;C;XP;FII;HSML11;10;123,49;1234,9;0,38;0;BRL
03/01/2020;C;XP;FII;HGRU11;27;131,99;3563,73;1,09;0;BRL
03/01/2020;C;XP;FII;HGRU11;14;131,95;1847,3;0,57;0;BRL
04/02/2020;C;MyCap;Ação;VIIA3;300;14,86;4458;6,47;0;BRL
06/02/2020;C;MyCap;Ação;PETR3;75;30;2250;0;0;BRL
07/02/2020;C;MyCap;Ação;VALE3;50;51,99;2599,5;5,94;0;BRL
07/02/2020;C;MyCap;Ação;WEGE3;26;41,95;1090,7;5,39;0;BRL
07/02/2020;C;XP;FII;ALZR11;3;126,94;380,82;0;0;BRL
27/02/2020;C;MyCap;Ação;CVCB3;100;27,29;2729;5;0;BRL
27/02/2020;C;MyCap;Ação;RLOG3;100;18,89;1889;5;0;BRL
27/02/2020;C;MyCap;Ação;ITSA4;100;12,09;1209;5;0;BRL
27/02/2020;C;MyCap;Ação;CSNA3;100;11,73;1173;5;0;BRL
09/03/2020;C;MyCap;Ação;BOVA11;20;82,85;1657;0,5;0;BRL
10/03/2020;C;MyCap;Ação;ITSA4;100;11,07;1107;5;0;BRL
10/03/2020;C;MyCap;Ação;WEGE3;7;41,45;290,15;5;0;BRL
20/03/2020;C;MyCap;Ação;ITSA4;100;9,08;908;0;0;BRL
02/04/2020;C;MyCap;Ação;PETR4;100;16,36;1636;5;0;BRL
02/04/2020;C;MyCap;Ação;ITSA4;100;8,45;845;5;0;BRL
02/04/2020;C;MyCap;Ação;MYPK3;100;10,26;1026;5;0;BRL
22/04/2020;C;XP;FII;XPLG11;3;106,87;320,61;0;0;BRL
05/05/2020;C;MyCap;Ação;CSNA3;100;8,2;820;5;0;BRL
05/05/2020;C;MyCap;Ação;ITSA4;100;9;900;5;0;BRL
02/06/2020;C;MyCap;Ação;MGLU3;200;15,83;3165;6,12;0;BRL
02/06/2020;C;MyCap;Ação;ITSA4;100;9,38;938;5,33;0;BRL
19/06/2020;V;MyCap;Ação;MGLU3;-800;17,75;14200;9,59;0;BRL
19/06/2020;V;MyCap;Ação;MGLU3;-200;17,76;3551,5;6,15;0;BRL
19/06/2020;C;MyCap;Ação;CVCB3;100;20;2000;5,65;0;BRL
22/06/2020;C;MyCap;Ação;MGLU3;800;17,95;14360;9,59;0;BRL
22/06/2020;C;MyCap;Ação;ABCB4;100;15,54;1554;5,5;0;BRL
01/07/2020;V;MyCap;Ação;BOVA11;-20;92,2;1844;0;0;BRL
01/07/2020;C;MyCap;Ação;TUPY3;100;18,95;1895;6,08;0;BRL
01/07/2020;C;MyCap;Ação;MYPK3;100;13,63;1363;5,77;0;BRL
30/07/2020;C;XP;FII;HGLG11;11;155,37;1709,07;0;0;BRL
05/08/2020;C;MyCap;Ação;CIEL3;100;5,07;507;5;0;BRL
07/08/2020;C;MyCap;Ação;CIEL3;100;5,49;549;5;0;BRL
28/09/2020;C;MyCap;Ação;CIEL3;100;4,24;424;5;0;BRL
