rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
31/03/2020;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;3,29;BRL
31/03/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;2,18;BRL
31/03/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;8123,59;0;BRL
31/03/2020;Resgate;Inter;CDB;CDB Liquidez Diária;5273,29;0;BRL
31/03/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;900,58;0;BRL
31/03/2020;Saídas;XP;Cash;XP Conta Invest;77,42;0;BRL
01/04/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;5,89;BRL
01/04/2020;Entradas;XP;Cash;XP Conta Invest;0;5,16;BRL
30/04/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6225,47;BRL
30/04/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;900;BRL
30/04/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;900;BRL
30/04/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,64;BRL
30/04/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,33;BRL
30/04/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;6193,32;0;BRL
30/04/2020;Resgate;Inter;CDB;CDB Liquidez Diária;570;0;BRL
30/04/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;900,35;0;BRL
01/05/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;69,28;BRL
01/05/2020;Entradas;XP;Cash;XP Conta Invest;0;52,91;BRL
31/05/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6502,19;BRL
31/05/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,28;BRL
31/05/2020;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;1,1;BRL
31/05/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,49;BRL
31/05/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;5235,45;0;BRL
31/05/2020;Resgate;Inter;CDB;CDB Liquidez Diária;331,1;0;BRL
01/06/2020;Entradas;XP;Cash;XP Conta Invest;0;149,49;BRL
30/06/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;4515,75;BRL
30/06/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;2300;BRL
30/06/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,78;BRL
30/06/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,49;BRL
30/06/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;6012,77;0;BRL
30/06/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;900,19;0;BRL
30/06/2020;Saídas;MyCap;Cash;MyCap Conta Invest;73,42;0;BRL
31/07/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;36903,78;BRL
31/07/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;600;BRL
31/07/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;1850;BRL
31/07/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,63;BRL
31/07/2020;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;0,25;BRL
31/07/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;5,19;BRL
31/07/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;7608,29;0;BRL
31/07/2020;Resgate;Inter;CDB;CDB Liquidez Diária;600,25;0;BRL
31/07/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;850,52;0;BRL
31/07/2020;Saídas;MyCap;Cash;MyCap Conta Invest;9,85;0;BRL
31/07/2020;Saídas;XP;Cash;XP Conta Invest;220,86;0;BRL
01/08/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;313,69;BRL
01/08/2020;Entradas;XP;Cash;XP Conta Invest;0;195,25;BRL
31/08/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6326,7;BRL
31/08/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,21;BRL
31/08/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;4,04;BRL
31/08/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;35427,75;0;BRL
31/08/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;900;0;BRL
01/09/2020;Entradas;XP;Cash;XP Conta Invest;0;214,23;BRL
30/09/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;4567,78;BRL
30/09/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,07;BRL
30/09/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;2,59;BRL
